Price,Adj Close,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,,
2023-12-14,363.21392822265625,365.92999267578125,373.760009765625,364.1300048828125,373.30999755859375,43277500
2023-12-15,367.9783020019531,370.7300109863281,372.3999938964844,366.2799987792969,366.8500061035156,78478200
2023-12-18,369.8840026855469,372.6499938964844,373.0,368.67999267578125,369.45001220703125,21802900
2023-12-19,370.4895324707031,373.260009765625,373.260009765625,369.8399963378906,371.489990234375,20603700
2023-12-20,367.8691101074219,370.6199951171875,376.0299987792969,370.5299987792969,375.0,26316700
2023-12-21,370.7674255371094,373.5400085449219,374.4100036621094,370.0400085449219,372.55999755859375,17708000
2023-12-22,371.79974365234375,374.5799865722656,375.17999267578125,372.7099914550781,373.67999267578125,17091100
2023-12-26,371.8791198730469,374.6600036621094,376.94000244140625,373.5,375.0,12673100
2023-12-27,371.29351806640625,374.07000732421875,375.05999755859375,372.80999755859375,373.69000244140625,14905400
2023-12-28,372.4945068359375,375.2799987792969,376.4599914550781,374.1600036621094,375.3699951171875,14327000
2023-12-29,373.2488708496094,376.0400085449219,377.1600036621094,373.4800109863281,376.0,18723000
2024-01-02,368.11724853515625,370.8699951171875,375.8999938964844,366.7699890136719,373.8599853515625,25258600
2024-01-03,367.8492736816406,370.6000061035156,373.260009765625,368.510009765625,369.010009765625,23083500
2024-01-04,365.208984375,367.94000244140625,373.1000061035156,367.1700134277344,370.6700134277344,20901500
2024-01-05,365.0203857421875,367.75,372.05999755859375,366.5,368.9700012207031,20987000
2024-01-08,371.9089050292969,374.69000244140625,375.20001220703125,369.010009765625,369.29998779296875,23134000
2024-01-09,373.0007629394531,375.7900085449219,375.989990234375,371.19000244140625,372.010009765625,20830000
2024-01-10,379.92889404296875,382.7699890136719,384.1700134277344,376.32000732421875,376.3699951171875,25514200
2024-01-11,381.775146484375,384.6300048828125,390.67999267578125,380.3800048828125,386.0,27850800
2024-01-12,385.58660888671875,388.4700012207031,388.67999267578125,384.6499938964844,385.489990234375,21645700
2024-01-16,387.37322998046875,390.2699890136719,394.0299987792969,387.6199951171875,393.6600036621094,27202300
2024-01-17,386.5791931152344,389.4700012207031,390.1099853515625,384.80999755859375,387.9800109863281,22234100
2024-01-18,390.946533203125,393.8699951171875,393.989990234375,390.1199951171875,391.7200012207031,23392100
2024-01-19,395.7109069824219,398.6700134277344,398.6700134277344,393.5,395.760009765625,29272000
2024-01-22,393.5669860839844,396.510009765625,400.6199951171875,393.5899963378906,400.0199890136719,27016900
2024-01-23,395.9391784667969,398.8999938964844,399.3800048828125,393.92999267578125,395.75,20525900
2024-01-24,399.5720520019531,402.55999755859375,405.6300048828125,400.45001220703125,401.5400085449219,24867000
2024-01-25,401.8648986816406,404.8699951171875,407.010009765625,402.5299987792969,404.32000732421875,21021200
2024-01-26,400.931884765625,403.92999267578125,406.1700134277344,402.42999267578125,404.3699951171875,17803300
2024-01-29,406.67889404296875,409.7200012207031,409.9800109863281,404.3299865722656,406.05999755859375,24510200
2024-01-30,405.5572509765625,408.5899963378906,413.04998779296875,406.45001220703125,412.260009765625,33477600
2024-01-31,394.6289978027344,397.5799865722656,415.32000732421875,397.2099914550781,406.9599914550781,47871100
2024-02-01,400.78302001953125,403.7799987792969,408.0,401.79998779296875,401.8299865722656,30657700
2024-02-02,408.1677551269531,411.2200012207031,412.6499938964844,403.55999755859375,403.80999755859375,28245000
2024-02-05,402.63909912109375,405.6499938964844,411.1600036621094,403.989990234375,409.8999938964844,25352300
2024-02-06,402.4802551269531,405.489990234375,407.9700012207031,402.9100036621094,405.8800048828125,18382600
2024-02-07,410.9767761230469,414.04998779296875,414.29998779296875,407.3999938964844,407.44000244140625,22340500
2024-02-08,411.0362854003906,414.1099853515625,415.55999755859375,412.5299987792969,414.04998779296875,21225300
2024-02-09,417.4284973144531,420.54998779296875,420.82000732421875,415.0899963378906,415.25,22032800
2024-02-12,412.1777648925781,415.260009765625,420.739990234375,414.75,420.55999755859375,21202900
2024-02-13,403.30413818359375,406.32000732421875,410.07000732421875,403.3900146484375,404.94000244140625,27824900
